user,path,loadtime,timestamps
admin,/api/,GET,0.0,2026-02-23 14:14:20.146246
admin,/api/,GET,0.015,2026-02-23 14:14:20.394836
admin,/api/,GET,0.02,2026-02-23 14:14:20.846130
admin,/api/,GET,0.016,2026-02-23 14:14:32.998746
admin,/api/,GET,0.01,2026-02-23 14:14:33.164309
admin,/api/,GET,0.006,2026-02-23 14:14:33.317283
admin,/api/,GET,0.0,2026-02-23 14:14:33.459088
admin,/api/,GET,0.0,2026-02-23 14:14:33.622347
admin,/api/,GET,0.0,2026-02-23 14:14:33.782545
admin,/api/,GET,0.0,2026-02-23 14:14:33.957034
admin,/api/,GET,0.0,2026-02-23 14:14:34.122173
admin,/api/,GET,0.041,2026-02-23 14:15:00.888249
admin,/favicon.ico,GET,0.007,2026-02-23 14:15:01.014315
admin,/api/,GET,0.005,2026-02-23 14:15:01.177324
admin,/api/,GET,0.01,2026-02-23 14:15:01.457475
admin,/api/,GET,0.006,2026-02-23 14:15:01.765296
admin,/api/,GET,0.0,2026-02-23 14:15:02.138366
admin,/api/,GET,0.0,2026-02-23 14:15:02.315035
admin,/api/,GET,0.0,2026-02-23 14:15:02.517505
admin,/api/,GET,0.0,2026-02-23 14:15:02.824214
admin,/api/,GET,0.0,2026-02-23 14:15:03.148530
admin,/api/,GET,0.0,2026-02-23 14:15:03.361461
admin,/api/,GET,0.0,2026-02-23 14:15:03.616052
admin,/api/,GET,0.0,2026-02-23 14:15:03.893217
admin,/api/,GET,0.047,2026-02-23 14:19:41.405998
admin,/api/,GET,0.006,2026-02-23 14:19:41.767876
admin,/api/,GET,0.01,2026-02-23 14:19:42.131004
admin,/api/,GET,0.007,2026-02-23 14:19:42.397324
admin,/api/,GET,0.008,2026-02-23 14:19:42.896647
admin,/api/,GET,0.0,2026-02-23 14:19:43.184291
admin,/api/,GET,0.0,2026-02-23 14:19:43.359274
admin,/api/,GET,0.0,2026-02-23 14:19:43.516435
admin,/api/,GET,0.001,2026-02-23 14:19:44.142158
admin,/api/,GET,0.0,2026-02-23 14:19:44.665285
admin,/api/,GET,0.0,2026-02-23 14:19:45.127830
admin,/api/,GET,0.0,2026-02-23 14:19:45.559413
admin,/api/,GET,0.0,2026-02-23 14:19:46.003344
admin,/api/,GET,0.0,2026-02-23 14:19:46.534384
admin,/api/,GET,0.0,2026-02-23 14:19:47.298355
admin,/api/,GET,0.043,2026-02-23 14:20:08.198461
admin,/api/,GET,0.008,2026-02-23 14:20:09.090885
admin,/api/,GET,0.014,2026-02-23 14:20:09.446248
admin,/api/,GET,0.011,2026-02-23 14:20:09.776296
admin,/api/,GET,0.011,2026-02-23 14:20:10.160322
admin,/api/,GET,0.0,2026-02-23 14:20:10.505259
admin,/api/,GET,0.0,2026-02-23 14:20:10.870715
admin,/api/,GET,0.0,2026-02-23 14:20:11.585340
